Subregion,year,hu,mhi,mhv,own,pov199,pov99,rm,em,unemp,vhu,pop
NJ Suburban Counties,1990,1991.15515,75.59502160032054,220.65324503299956,72.50567308282851,18.95642436432505,7.5144572692347,20.124117447133088,4.9654636034181365,5.517899627454284,5.052481289089847,1451.67137
NJ Suburban Counties,2000,2125.16429,81.83544011892783,194.0767860688753,73.45009777003095,19.049315201444717,7.885161795720256,24.862777895675098,6.966900689743393,5.8896821495031535,5.44884383030606,1535.86526
NJ Suburban Counties,2010,2248.815,83.890173038229,300.86473082514465,72.86569339613348,23.97883953962134,11.007507292367634,29.90485317524437,10.563532436530092,8.417936638985797,6.053813946478082,1615.293
NJ Suburban Counties,2017,2265.054,82.10916274201215,245.12944205118396,71.53315447145927,27.038924614687907,12.57012002341566,30.822145543479063,12.09986872664849,7.624234405079374,8.425561810110905,1624.092
PA Suburban Counties,1990,2959.73704,82.89673723939273,270.8021169592012,74.71800417772084,13.680773449389903,4.781046344598378,8.880273898810122,1.4843737311602672,3.7162036892478216,4.239257687304162,2143.32824
PA Suburban Counties,2000,3235.77573,89.70457675190136,241.96044519345975,75.84440239202799,14.770253426144537,5.47959910569283,12.941374901513663,2.306926770478151,4.210408517024787,3.6749976696687923,2332.09478
PA Suburban Counties,2010,3470.0429999999997,90.66297885116016,354.68984875981886,75.09734639894084,18.890657443407754,7.282122711992441,17.896985406292742,4.43236133239468,5.869413479640349,5.141261260832377,2482.988
PA Suburban Counties,2017,3524.86,89.39703327354282,313.82413306862793,74.09746790092608,20.3004106957583,8.281216666271579,19.05279765884498,5.1019360740076385,5.508627245757544,5.661731781770622,2523.199
Philadelphia,1990,2254.74679,45.55907977389704,106.91251307666302,63.33505987390844,39.851455724925536,20.453856931367987,46.54902948358276,5.621699201240728,10.684206682059285,10.180575436962028,1580.50579
Philadelphia,2000,2179.04572,44.40416845170474,96.33429620404141,60.10951215501198,43.25231446681612,22.984007393204077,54.975860302894745,8.496091682831269,11.83874867352208,10.505033167919768,1517.46306
Philadelphia,2010,2196.094,42.18007179915149,172.80756518807135,54.68013700263876,52.834287942692455,30.13596998532135,58.96339984927422,12.294242930633377,13.341989061935392,10.133215891429987,1525.95
Philadelphia,2017,2249.533,43.05934672242922,172.17326911727454,52.703593953665255,55.118336961212265,31.237597379777124,58.44926630467676,14.129010350668969,12.281465430122601,12.4101838008237,1569.657
